relation_id,relation_label,kind,exposure,exposure_label,target,target_label,pearson_same_day,spearman_same_day,raw_coef,raw_p_value,raw_r2,adjusted_coef,adjusted_p_value,adjusted_r2,reading
co2_direct,CO2 inventario -> CO2 sensores,principal,emisiones_totales_co2_g,Emisiones CO2 inventario,CO2,CO2 observado,0.03735258766302717,-0.006060606060606061,1.1386709179103238e-05,0.9288818493596401,0.0013952158051235841,-8.154291765561338e-05,0.39867517543916675,0.46726848601921955,sin senal clara
no2_direct,NOx inventario -> NO2 sensores,principal,emisiones_totales_nox_g,Emisiones NOx inventario,NO2,NO2 observado,0.259129102856142,0.5515151515151515,0.008541233226448236,0.21664144453460216,0.0671478919470283,-0.0027214817476666625,0.682196139342605,0.9036318268256065,senal debil o moderada
no2_activity,Actividad del inventario -> NO2 sensores,apoyo,trips_total,Trayectos totales,NO2,NO2 observado,0.5999467812431347,0.6969696969696969,0.009022464392188567,0.0475865926937825,0.35993614032399746,-0.0022376584102886295,0.6258173612191886,0.9051538387887592,senal visible
